FLOB,PTB,description
APPGE,PRP$,"possessive pronoun, pre-nominal (e.g. ""my"", ""your"", ""our"")"
AT,DT,"article (e.g. ""the"", ""no"")"
AT1,DT,"singular article (e.g. ""a"", ""an"", ""every"")"
BCL,IN,"before-clause marker (e.g. ""in order (that)"", ""in order (to)"")"
CC,CC,"coordinating conjunction (e.g. ""and"", ""or"")"
CCB,CC,"adversative coordinating conjunction (""but"")"
CII,IN,no idea
CS,IN,"subordinating conjunction (e.g. ""if"", ""because"", ""unless"", ""so"", ""for"")"
CSA,IN,"""as"" (as conjunction)"
CSN,IN,"""than"" (as conjunction)"
CST,IN,"""that"" (as conjunction). Note that this tag in C7 subsumed both “that” as a complementizer and “that” as a relativizer"
CSW,IN,"""whether"" (as conjunction)"
DA,RB,"after-determiner or post-determiner capable of pronominal function (e.g. ""such"", ""former"", ""same"")"
DA1,JJ,"singular after-determiner (e.g. ""little"", ""much"")"
DA2,JJ,"plural after-determiner (e.g. ""few"", ""several"", ""many"")"
DAR,JJR,"comparative after-determiner (e.g. ""more"", ""less"", ""fewer"")"
DAT,JJS,"superlative after-determiner (e.g. ""most"", ""least"", ""fewest"")"
DB,RB,"before determiner or pre-determiner capable of pronominal function (""all"", ""half"")"
DB2,RB,"plural before-determiner (""both"")"
DD,DT,"determiner (capable of pronominal function) (e.g ""any"", ""some"")"
DD1,DT,"singular determiner (e.g. ""this"", ""that"", ""another"")"
DD2,DT,"plural determiner (""these"", ""those"")"
DDL,WDT,"wh-determiner, functioning as relative pronoun (""which"")"
DDLGE,WP$,"wh-determiner, functioning as relative pronoun, genitive (""whose"")"
DDQ,WDT,"wh-determiner, interrogative (""which"", ""what""). Note that this tag in C7 subsumed both interrog and relativizing uses"
DDQGE,WP$,"wh-determiner, interrogative, genitive (""whose""). Note that this tag in C7 subsumed both interrog and relativizing uses"
DDQV,WDT,"wh-ever determiner, interrogative (""whichever"", ""whatever"")"
EX,EX,"existential ""there"""
FO,.,formula
FU,FW,unclassified word
FW,FW,foreign word
PW,FW,foreign word
FW1,FW,foreign word
GE,POS,"germanic genitive marker - (""’"" or ""’s"")"
IF,IN,"""for"" (as preposition)"
II,IN,"general preposition (GL: Probably includes ""to"" but so what?)"
IO,IN,"""of"" (as preposition)"
IW,IN,"""with"", ""without"" (as prepositions)"
JJ,JJ,general adjective
JJR,JJR,"general comparative adjective (e.g. ""older"", ""better"", ""stronger"")"
JJT,JJS,"general superlative adjective (e.g. ""oldest"", ""best"", ""strongest"")"
JK,JJ,"catenative adjective (""able"", as in ""be able to"")"
MC,CD,"cardinal number, neutral for number (""two"", ""three""..)"
MC1,CD,"singular cardinal number (""one"")"
MD1,CD,"no idea, typo"
MC2,CD,"plural cardinal number (e.g. ""sixes"", ""sevens"")"
MCGE,CD,"genitive cardinal number, neutral for number (""two’s"", ""100’s"")"
MCMC,CD,"hyphenated number (""40-50"", ""1770-1827"")"
MD,JJ,"ordinal number (e.g. ""first"", ""second"", ""next"", ""last"")"
MF,CD,"fraction, neutral for number (e.g. ""quarters"", ""two-thirds"")"
ND1,JJ,"singular noun of direction (e.g. ""north"", ""southeast"")"
NN,NN,"common noun, neutral for number (e.g. ""sheep"", ""cod"", ""headquarters"")"
NN1,NN,"singular common noun (e.g. ""book"", ""girl"")"
NN2,NNS,"plural common noun (e.g. ""books"", ""girls"")"
NNA,NNP,"following noun of title (e.g. ""M.A."")"
NNB,NNP,"preceding noun of title (e.g. ""Mr."", ""Prof."")"
NNL1,NNP,"singular locative noun, in naming expression (e.g. ""Island"", as in ""Coney Island"", ""Street"" in ""Argyle Street"")"
NNL2,NNPS,"plural locative noun (e.g.""Islands"", as in ""Virgin Islands"")"
NNO,CD,"numeral noun, neutral for number (e.g. ""dozen"", ""hundred"")"
NNO2,CD,"numeral noun, plural (e.g. ""hundreds"", ""thousands"")"
NNT1,NN,"temporal noun, singular (e.g. ""day"", ""week"", ""year"")"
NNT2,NNS,"temporal noun, plural (e.g. ""days"", ""weeks"", ""years"")"
NNU,NNS,"unit of measurement, neutral for number (e.g. ""in"", ""cc"")"
NNU1,NN,"singular unit of measurement (e.g. ""inch"", ""centimetre"")"
NNU2,NNS,"plural unit of measurement (e.g. ""ins."", ""feet"")"
NNZ1,NN,no idea
NP,NNP,"proper noun, neutral for number (e.g. ""IBM"", ""Andes"")"
NP1,NNP,"singular proper noun (e.g. ""London"", ""Jane"", ""Frederick"")"
NP1VM,NNP,dunno
NP2,NNPS,"plural proper noun (e.g. ""Browns"", ""Reagans"", ""Koreas"")"
NPD1,NN,"singular weekday noun (e.g. ""Sunday"")"
NPD2,NNS,"plural weekday noun (e.g. ""Sundays"")"
NPM1,NN,"singular month noun (e.g. ""October"")"
NPM2,NNS,"plural month noun (e.g. ""Octobers"")"
PN,PRP,"indefinite pronoun, neutral for number (""none"")"
PN1,PRP,"indefinite pronoun, singular (e.g. ""anyone"", ""everything"", ""nobody"", ""one"")"
PN2,PRP,both?
PNLO,WP,"objective wh-pronoun, relative (""whom"")"
PNLS,WP,"subjective wh-pronoun, relative (""who"")"
PNQO,WP,"objective wh-pronoun, interrogative (""whom"")""). Note that this tag in C7 subsumed both interrog and relativizing uses"
PNQS,WP,"subjective wh-pronoun, interrogative (""who""). Note that this tag in C7 subsumed both interrog and relativizing uses"
PNQV,WP,"wh-ever pronoun (""whoever"")"
PNX1,PRP,"reflexive indefinite pronoun (""oneself"")"
PPGE,JJ,"nominal possessive personal pronoun (e.g. ""mine"", ""yours"")"
PPH1,PRP,"3rd person sing. neuter personal pronoun (""it"")"
PPHI1,PRP,no idea
PPHI,PRP,"no idea, typo"
PPHO1,PRP,"3rd person sing. objective personal pronoun (""him"", ""her"")"
PPHO2,PRP,"3rd person plural objective personal pronoun (""them"")"
PPHS1,PRP,"3rd person sing. subjective personal pronoun (""he"", ""she"")"
PPHS2,PRP,"3rd person plural subjective personal pronoun (""they"")"
PPIO1,PRP,"1st person sing. objective personal pronoun (""me"")"
PPIO2,PRP,"1st person plural objective personal pronoun (""us"")"
PPIS1,PRP,"1st person sing. subjective personal pronoun (""I"")"
PPIS2,PRP,"1st person plural subjective personal pronoun (""we"")"
PPX1,PRP,"singular reflexive personal pronoun (e.g. ""yourself"", ""itself"")"
PPX2,PRP,"plural reflexive personal pronoun (e.g. ""yourselves"", ""themselves"")"
PPY,PRP,"2nd person personal pronoun (""you"")"
RA,RB,"adverb, after nominal head (e.g. ""else"", ""galore"")"
REX,RB,"adverb introducing appositional constructions (""namely"", ""e.g."")"
RG,RB,"degree adverb (""very"", ""so"", ""too"")"
RGQ,WRB,"wh- degree adverb (""how"")"
RGQV,WRB,"wh-ever degree adverb (""however"")"
RGR,RBR,"comparative degree adverb (""more"", ""less"")"
RGT,RBS,"superlative degree adverb (""most"", ""least"")"
RL,RB,"locative adverb (e.g. ""alongside"", ""forward"")"
RP,RP,"prep. adverb, particle (e.g ""about"", ""in"")"
RPK,IN,"prep. adv., catenative (""about"" in ""be about to"")"
RR,RB,general adverb
RRQ,WRB,"wh- general adverb (""where"", ""when"", ""why"", ""how"")"
RRQV,WRB,"wh-ever general adverb (""wherever"", ""whenever"")"
RRR,RBR,"comparative general adverb (e.g. ""better"", ""longer"")"
RRRR,RBR,"no idea, typo"
RRT,RBS,"superlative general adverb (e.g. ""best"", ""longest"")"
RT,RB,"quasi-nominal adverb of time (e.g. ""now"", ""tomorrow"")"
TO,TO,"infinitive marker (""to"")"
UH,UH,"interjection (e.g. ""oh"", ""yes"", ""um"")"
VAB0,VB,"base form of verb ""BE"" (auxiliary), imperative or subjunctive. Note that for this and subsequent tags the insertion of an -A- in second position marks auxiliary use"
VABDR,VBD,"""were"" (auxiliary)"
VABDZ,VBD,"""was"" (auxiliary)"
VSBDZ,VBD,no idea
VABG,VBG,"""being"" (auxiliary)"
VABI,VB,"""be"" infinitive (auxiliary)"
V0BI,VB,no idea
VABM,VBP,"""am"" (auxiliary)"
VABN,VBN,"""been"" (auxiliary)"
VABR,VBP,"""are"" (auxiliary)"
VABZ,VBZ,"""is"" (auxiliary)"
VVB0,VB,"base form of ""BE"" (lexical vb), imperative or subjunctive"
VVBDR,VBD,"""were"" (lexical)"
VVBDZ,VBD,"""was"" (lexical)"
VVADZ,VBD,dunno
VVBG,VBG,"""being"" (lexical)"
VVBI,VB,"""be"" infinitive (lexical)"
VVBM,VBP,"""am"" (lexical)"
VVBN,VBN,"""been"" (lexical)"
VVBR,VBP,"""are"" (lexical)"
VVBZ,VBZ,"""is"" (lexical)"
VAD0,VBP,"base form of verb ""DO"" (auxiliary), indicative, imperative or subjunctive (GL: this annoyingly collapses imperatives in, which should be VB in PTB)"
VADD,VBD,"""did"" (auxiliary)"
VADI,VB,"do, infinitive-ish"
VADZ,VBZ,"""does"" (auxiliary)"
VVD0,VBP,"base form of verb ""DO"" (lexical), indicative, imperative or subjunctive (GL: also collapses imperatives)"
VVDD,VBD,"""did"" (lexical)"
VVDG,VBG,"""doing"""
VVDI,VB,"""do"" infinitive (lexical)"
VVDN,VBN,"""done"""
VVDZ,VBZ,"""does"" (lexical)"
VAH0,VBP,"base form of ""HAVE"" (auxiliary), indicative, imperative or subjunctive (GL: collapses imperatives (VB in PTB))"
VAHD,VBD,"""had"" (past tense), (auxiliary)"
VAHG,VBG,"""having"", (auxiliary)"
VAHI,VB,"""have"" infinitive, (auxiliary)"
VAHN,VBN,"had, aux?"
VAHZ,VBZ,"""has"", (auxiliary)"
VVH0,VBP,"base form of verb ""HAVE"" (lexical), indicative, imperative or subjunctive (GL: Also collapses imperative)"
VVHD,VBD,"""had"" (past tense), (lexical)"
VVHG,VBG,"""having"", (lexical)"
VVHI,VB,"""have"" infinitive, (lexical)"
VVHN,VBD,"""had"" (past participle)"
VVHZ,VBZ,"""has"", (lexical)"
VM,MD,"modal auxiliary (""can"", ""will"", ""would"", etc.)"
VMK,MD,"modal catenative (""ought"", ""used"")"
VV0,VBP,"base form of lexical verb (e.g. ""give"", ""work"") Note: excludes BE, HAVE and DO (see above, tags beginning VVB-, VVH-, VVD-)"
VVD,VBD,"past tense of lexical verb (e.g. ""gave"", ""worked"")"
VVG,VBG,"-ing participle of lexical verb (e.g. ""giving"", ""working"") Note: excludes BE, HAVE and DO"
VVGK,VBG,"-ing participle catenative (""going"" in ""be going to"")"
VVI,VB,"infinitive (e.g. ""to give..."" ""It will work..."") Note: excludes BE, HAVE and DO"
VVN,VBN,"past participle of lexical verb (e.g. ""given"", ""worked"") Note: excludes BE, HAVE and DO"
VVNK,VBN,"past participle catenative (e.g. ""bound"" in ""be bound to"")"
VVZ,VBZ,"-s form of lexical verb (e.g. ""gives"", ""works"") Note: excludes BE, HAVE and DO"
WPR,WDT,"relative pronoun, ""that"""
XX,RB,"""not"", ""n’t"""
ZZ1,NN,"singular letter of the alphabet (e.g. ""A"", ""b"")"
ZZ11,NN,"singular letter of the alphabet (e.g. ""A"", ""b"")"
ZZ2,NNS,"plural letter of the alphabet (e.g. ""A’s"", ""b’s"")"
YBL,-LRB-,punctuation tag - left bracket
YBR,-RRB-,punctuation tag - right bracket
YCOL,:,punctuation tag - colon
YCOM,",",punctuation tag - comma
YDSH,-,punctuation tag - dash
YEX,.,punctuation tag - exclamation mark
YLIP,:,punctuation tag - ellipsis
YQUE,.,punctuation tag - question mark
YQUO,``,punctuation tag - quotes
YSCOL,:,punctuation tag - semicolon
YSTP,.,punctuation tag - full-stop
