LOB,PTB,desc
!,.,exclamation mark
&FO,.,formula 7.22
&FW,FW,foreign word 7.21
(,-LRB-,left bracket: ( [
),-RRB-,right bracket ) ]
*',``,"begin quote: *’ *"" 2.6"
**',',"end quote: **’ **"" 2.6"
*_,:,dash 7.24
*-,:,
",",",",comma 7.24
.,.,full stop 7.24
...,:,ellipsis
:,:,colon 7.24
;,:,semicolon 7.24
?,.,question mark
ABL,RB,"pre-qualifier (quite, rather, such) 7.12"
ABN,RB,"pre-quantifier (all, half) 7.12"
ABX,RB,pre-quantifier/double conjunction (both)
AP,JJ,"post-determiner (few, fewer, former, last, latter, least, less, little, many, more, most, much, next, only, other, own, same, several, very) 7.12"
"(AP""",JJ,"a few, a little"
AP$,JJ,other’s
APS,JJ,others
APS$,JJ,others’
AT,DT,"singular article (a, an, every) 7.12"
ATI,DT,"singular og plural article (the, no) 7.12"
BE,VB,be 7.5
BED,VBD,were
BEDZ,VBZ,was
BEG,VBG,being
BEM,VBP,"am, ‘m"
BEN,VBN,been
BER,VBP,"are, ‘re"
BEZ,VBZ,"is, ‘s"
CC,CC,"coordinating conjunction (and, and/or, but, nor, only, or, yet) 7.14 - 7.15"
"(CC""",CC,as well as
CD,CD,"cardinal (2, 3, etc; two, three, etc; hundred, thousand, etc; dozen, zero) 7.17"
CD$,CD,cardinal + genitive
CD-CD,CD,hyphenated pair of cardinals 7.17
CD1,CD,"one, 1 7.17"
CD1$,CD,one’s
CD1S,CD,ones
CDS,CD,"cardinal + plural (tens, millions, dozens)"
CS,IN,"subordinating conjunction (after, although,etc)"
"CS""",IN,x
"(CS""",IN,"in that, so that, etc"
DO,VBP,do 7.5
DOD,VBD,did
DOZ,VBZ,does
DT,DT,"singular determiner (another, each, that, this) 7.12"
DT$,DT,singular determiner + genitive (another’s)
DTI,DT,"singular or plural determiner (any, enough, some)"
DTS,DT,"plural determiner (these, those)"
DTX,DT,"determiner/double conjunction (either, neither) 7.12"
EX,EX,existensial there 7.10
HV,VBP,have 7.5
HVD,VBD,"had, ‘d"
HVG,VBG,having
HVN,VBN,had (past participle)
HVZ,VBZ,"has, ‘s"
IN,IN,"preposition (about, above, etc) 7.13, 7.15"
"(IN""",IN,"as to, in spite of, etc"
JJ,JJ,"adjective 7.3 - 7.4, 7.8 - 7.9, 7.11"
"(JJ""",JJ,
JJB,JJ,"attribute-only adjective (chief, entire, mainetc) 7.8"
"(JJB""",JJ,
JJR,JJR,"comparative adjective 7.9, 7.11"
"(JJR""",JJR,
JJT,JJS,"superlative adjective 7.9, 7.11"
"(JJT""",JJS,
JNP,JJ,"adjective with word-initial capital (English, German, etc)"
MD,MD,"modal auxiliary (‘ll, can, could, etc)"
NC,NN,cited word 7.23
NN,NN,"singular common noun 7.4, 7.6, 7.7"
"(NN""",NN,
NN$,NN,singular common noun + genitive 7.6
NNP,NNP,"singular common noun with word-initial capital (Englishman, German, etc)"
NNP$,NNP,singular common noun with word-initial capital + genitive
NNPS,NNPS,plural common noun with word-initial capital
NNPS$,NNPS,plural common noun with word-initial capital + genitive
NNS,NNS,"plural common noun 7.6, 7.7"
"(NNS""",NNS,
NNS$,NNS,plural common noun + genitive
NNU,NN,"abbreviated unit of measurement unmarked for number (\0hr, \0lb, etc) 7.19"
"(NNU""",NN,per cent
NNUS,NNS,"abbreviated plural unit of measurement (\0gns, \0yds, etc)"
